Datetime,Open,High,Low,Close,Volume
1710470100000,3813.77,3815.89,3812.52,3814.22,771.423
1710470100000,3813.77,3815.89,3812.52,3814.35,850.276
1710470100000,3813.77,3815.89,3812.52,3814.95,856.214
1710470100000,3813.77,3815.89,3812.52,3815.01,895.096
1710470100000,3813.77,3815.89,3812.52,3815.01,895.247
1710470100000,3813.77,3815.89,3812.52,3815.39,909.220
1710470100000,3813.77,3815.89,3812.52,3814.63,917.176
1710470100000,3813.77,3815.89,3812.52,3814.62,917.205
1710470100000,3813.77,3815.89,3812.52,3814.48,932.845
1710470100000,3813.77,3815.89,3812.52,3814.48,934.079
1710470100000,3813.77,3815.89,3812.52,3814.52,946.550
1710470100000,3813.77,3815.89,3812.52,3814.52,947.476
1710470100000,3813.77,3815.89,3812.52,3814.20,959.590
1710470100000,3813.77,3815.89,3812.52,3814.04,964.766
1710470100000,3813.77,3815.89,3812.52,3813.91,1003.535
1710470100000,3813.77,3815.89,3812.52,3813.91,1016.214
1710470100000,3813.77,3815.89,3812.52,3813.91,1019.673
1710470100000,3813.77,3815.89,3812.52,3813.91,1020.502
1710470100000,3813.77,3815.89,3812.52,3814.72,1041.861
1710470100000,3813.77,3815.89,3812.52,3815.19,1047.044
1710470100000,3813.77,3815.89,3812.52,3815.70,1057.503
1710470100000,3813.77,3816.08,3812.52,3815.96,1129.151
1710470100000,3813.77,3816.08,3812.52,3814.80,1805.557
1710470100000,3813.77,3816.08,3812.52,3814.38,1812.385
1710470100000,3813.77,3816.08,3812.52,3813.90,1848.219
1710470100000,3813.77,3816.08,3812.52,3813.79,1850.455
1710470100000,3813.77,3816.08,3812.52,3813.80,1856.321
1710470100000,3813.77,3816.08,3812.52,3813.88,1875.308
1710470100000,3813.77,3816.08,3812.52,3813.87,1876.454
1710470100000,3813.77,3816.08,3812.52,3813.88,1886.416
1710470100000,3813.77,3816.08,3812.52,3813.88,1897.186
1710470100000,3813.77,3816.08,3812.52,3814.69,1902.227
1710470100000,3813.77,3816.08,3812.52,3815.11,1904.092
1710470100000,3813.77,3816.08,3812.52,3816.01,2035.911
1710470100000,3813.77,3816.52,3812.52,3816.52,2041.429
1710470100000,3813.77,3816.53,3812.52,3816.53,2049.271
1710470100000,3813.77,3816.75,3812.52,3816.75,2056.310
1710470100000,3813.77,3816.75,3812.52,3816.74,2056.320
1710470100000,3813.77,3817.52,3812.52,3817.51,2078.698
1710470100000,3813.77,3817.52,3812.52,3817.51,2079.958
1710470100000,3813.77,3817.52,3812.52,3816.96,2158.218
1710470100000,3813.77,3817.52,3812.52,3816.54,2184.811
1710470100000,3813.77,3817.52,3812.52,3817.02,2223.355
1710470100000,3813.77,3817.54,3812.52,3817.53,2230.636
1710470100000,3813.77,3817.54,3812.52,3816.62,2273.230
1710470100000,3813.77,3817.54,3812.52,3816.62,2279.726
1710470100000,3813.77,3817.54,3812.52,3816.51,2283.822
1710470100000,3813.77,3817.54,3812.52,3815.74,2289.967
1710470100000,3813.77,3817.54,3812.52,3815.74,2293.519
1710470100000,3813.77,3817.54,3812.52,3815.51,2358.694
1710470100000,3813.77,3817.54,3812.52,3815.26,2362.213
1710470100000,3813.77,3817.54,3812.52,3815.00,2390.703
1710470100000,3813.77,3817.54,3812.52,3815.01,2394.191
1710470100000,3813.77,3817.54,3812.52,3815.58,2420.804
1710470100000,3813.77,3817.54,3812.52,3815.80,2423.918
1710470100000,3813.77,3817.54,3812.52,3814.89,2431.723
1710470100000,3813.77,3817.54,3812.52,3815.52,2443.298
1710470100000,3813.77,3817.54,3812.52,3815.53,2447.181
1710470100000,3813.77,3817.54,3812.52,3815.52,2447.394
1710470100000,3813.77,3817.54,3812.52,3815.05,2468.305
1710470100000,3813.77,3817.54,3812.52,3815.05,2470.015
1710470100000,3813.77,3817.54,3812.52,3815.05,2484.490
1710470100000,3813.77,3817.54,3812.52,3815.21,2509.136
1710470100000,3813.77,3817.54,3812.52,3815.40,2512.663
1710470100000,3813.77,3817.54,3812.52,3815.72,2558.415
1710470100000,3813.77,3817.54,3812.52,3815.83,2564.403
1710470100000,3813.77,3817.54,3812.52,3815.28,2620.442
1710470100000,3813.77,3817.54,3812.52,3814.09,2652.373
1710470100000,3813.77,3817.54,3812.52,3814.08,2653.453
1710470100000,3813.77,3817.54,3812.52,3813.91,2659.662
1710470100000,3813.77,3817.54,3812.52,3813.91,2660.493
1710470100000,3813.77,3817.54,3812.52,3813.91,2662.450
1710470100000,3813.77,3817.54,3812.52,3813.91,2666.124
1710470100000,3813.77,3817.54,3812.52,3813.92,2667.567
1710470100000,3813.77,3817.54,3812.52,3813.91,2673.931
1710470100000,3813.77,3817.54,3812.52,3813.38,2776.870
1710470100000,3813.77,3817.54,3812.52,3813.12,2779.767
1710470100000,3813.77,3817.54,3812.52,3813.12,2781.836
1710470100000,3813.77,3817.54,3812.52,3813.12,2783.438
1710470100000,3813.77,3817.54,3812.52,3813.12,2787.746
1710470100000,3813.77,3817.54,3812.52,3813.11,2795.752
1710470100000,3813.77,3817.54,3812.52,3813.32,2832.005
1710470100000,3813.77,3817.54,3812.52,3814.63,3185.849
1710470100000,3813.77,3817.54,3812.52,3814.87,3205.108
1710470100000,3813.77,3817.54,3812.52,3815.42,3251.143
1710470100000,3813.77,3817.54,3812.52,3815.42,3271.903
1710470100000,3813.77,3817.54,3812.52,3815.95,3325.442
1710470100000,3813.77,3817.54,3812.52,3816.28,3335.605
1710470100000,3813.77,3817.54,3812.52,3814.95,3554.372
1710470100000,3813.77,3817.54,3812.52,3814.65,3558.940
1710470100000,3813.77,3817.54,3812.52,3814.65,3560.168
1710470100000,3813.77,3817.54,3812.52,3813.85,3582.196
1710470100000,3813.77,3817.54,3812.52,3813.84,3590.838
1710470100000,3813.77,3817.54,3812.52,3813.55,3598.442
1710470100000,3813.77,3817.54,3812.52,3813.34,3630.589
1710470100000,3813.77,3817.54,3812.52,3813.03,3668.210
1710470100000,3813.77,3817.54,3812.52,3813.03,3669.627
1710470100000,3813.77,3817.54,3812.52,3814.03,3720.767
1710470100000,3813.77,3817.54,3812.52,3814.04,3725.488
1710470100000,3813.77,3817.54,3812.52,3813.58,3734.291
1710470100000,3813.77,3817.54,3812.52,3813.38,3741.000
1710470100000,3813.77,3817.54,3812.52,3813.75,3767.151
1710470100000,3813.77,3817.54,3812.52,3814.61,3776.651
1710470100000,3813.77,3817.54,3812.52,3814.28,3793.423
1710470100000,3813.77,3817.54,3812.52,3814.28,3794.250
1710470100000,3813.77,3817.54,3812.52,3814.28,3794.490
1710470100000,3813.77,3817.54,3812.52,3814.27,3794.634
1710470100000,3813.77,3817.54,3812.52,3814.25,3795.363
1710470100000,3813.77,3817.54,3812.52,3815.05,3873.461
1710470100000,3813.77,3817.54,3812.52,3815.42,3880.573
1710470100000,3813.77,3817.54,3812.52,3815.42,3881.218
1710470100000,3813.77,3817.54,3812.52,3815.98,3888.066
1710470100000,3813.77,3817.54,3812.52,3815.82,3910.025
1710470100000,3813.77,3817.54,3812.52,3816.28,4018.093
1710470100000,3813.77,3817.54,3812.52,3816.33,4019.457
1710470100000,3813.77,3817.54,3812.52,3816.32,4019.711
1710470100000,3813.77,3817.54,3812.52,3816.32,4021.849
1710470100000,3813.77,3817.54,3812.52,3815.84,4028.126
1710470100000,3813.77,3817.54,3812.52,3815.29,4030.880
1710470100000,3813.77,3817.54,3812.52,3814.75,4093.303
1710470100000,3813.77,3817.54,3812.52,3814.75,4095.483
1710470100000,3813.77,3817.54,3812.52,3814.75,4097.206
1710470100000,3813.77,3817.54,3812.52,3814.75,4103.322
1710470100000,3813.77,3817.54,3812.52,3814.74,4107.010
1710470100000,3813.77,3817.54,3812.52,3814.74,4114.191
1710470100000,3813.77,3817.54,3812.52,3814.74,4114.239
1710470100000,3813.77,3817.54,3812.52,3814.72,4118.392
1710470100000,3813.77,3817.54,3812.52,3813.85,4125.444
1710470100000,3813.77,3817.54,3812.52,3813.58,4125.877
1710470100000,3813.77,3817.54,3812.52,3813.58,4126.510
1710470100000,3813.77,3817.54,3812.52,3813.43,4129.228
1710470100000,3813.77,3817.54,3812.52,3813.43,4129.956
1710470100000,3813.77,3817.54,3812.52,3813.33,4131.763
1710470100000,3813.77,3817.54,3812.52,3813.04,4138.055
1710470100000,3813.77,3817.54,3812.52,3813.04,4139.539
1710470100000,3813.77,3817.54,3812.52,3813.04,4143.395
1710470100000,3813.77,3817.54,3812.52,3813.01,4166.299
1710470100000,3813.77,3817.54,3812.52,3813.00,4166.329
1710470100000,3813.77,3817.54,3812.52,3813.01,4166.400
1710470100000,3813.77,3817.54,3812.52,3813.00,4167.060
1710470100000,3813.77,3817.54,3812.52,3812.81,4183.353
1710470100000,3813.77,3817.54,3812.52,3812.80,4194.552
1710470100000,3813.77,3817.54,3812.52,3812.80,4199.222
1710470100000,3813.77,3817.54,3812.28,3812.28,4214.818
1710470100000,3813.77,3817.54,3812.28,3812.78,4266.659
1710470100000,3813.77,3817.54,3812.28,3812.78,4267.254
1710470100000,3813.77,3817.54,3811.82,3811.83,4328.809
1710470100000,3813.77,3817.54,3811.82,3811.82,4329.240
1710470100000,3813.77,3817.54,3811.82,3811.82,4330.246
1710470100000,3813.77,3817.54,3811.82,3811.83,4331.119
1710470100000,3813.77,3817.54,3811.82,3811.82,4332.881
1710470100000,3813.77,3817.54,3811.82,3811.85,4346.107
1710470100000,3813.77,3817.54,3811.82,3811.84,4351.846
